# UNSODA Database v2.0
# Code:       1330
# Texture:    silt
# Location:   Ohlendorf, Hannover, West Germany
# Theta_sat:  0.44
# Dry/wet:    dry
# No. points: 21
# psi       theta
   10       0.40
   13       0.39
   19       0.38
   46       0.37
   82       0.36
  139       0.35
  196       0.34
  214       0.33
  334       0.32
  398       0.31
  436       0.30
  496       0.29
  600       0.17
 1000       0.15
 2000       0.14
 4000       0.13
 6000       0.12
10000       0.11
15000       0.08
40000       0.07
60000       0.06
