# UNSODA Database v2.0
# Code:       4440
# Texture:    sand
# Location:   Grenoble, France
# Theta_sat:  0.345
# Dry/wet:    dry
# No. points: 42
#  psi      theta
    11      0.350
    13      0.350
    14      0.355
    16      0.350
    23      0.341
    28      0.3365
    33      0.330
    36      0.3225
    37      0.310
    38      0.320
    40      0.312
    42      0.2908
    44      0.284
    45      0.282
    47      0.2608
    48      0.250
    49      0.242
    50      0.235
    51      0.2288
    52      0.205
    53      0.206
    54      0.1996
    55      0.200
    56      0.1819
    59      0.164
    60      0.170
    61      0.178
    62      0.1549
    64      0.155
    65      0.145
    66      0.160
    67      0.140
    68      0.134
    69      0.146
    70      0.138
    74      0.134
    77      0.126
    79      0.124
    84      0.119
    89      0.114
    94      0.100
   104      0.100
